"homeTeam","awayTeam","homeScore","awayScore","date","gameID","playoff","season","winner","loser","MOV","previousHomeElo","previousAwayElo","newHomeElo","newAwayElo","homeWinPct","awayWinPct","drawPct","expectedWinner","correct"
"Revolution","Mechanix",25,13,2014-05-02,"2014-05-02-DET-CIN",FALSE,"2014","Revolution","Mechanix",12,1338.84739312091,1279.42718704397,1360.70120641108,1257.6705298288,0.713936208151801,0.284792030492506,0.00127176135569351,"Revolution",TRUE
"Spiders","Cascades",25,20,2014-05-03,"2014-05-03-SEA-SJ",FALSE,"2014","Spiders","Cascades",5,1466.35427717141,1357.168035219,1478.66952890907,1344.91171429141,0.768712428612279,0.230180816590373,0.00110675479734768,"Spiders",TRUE
"Rush","Dragons",26,11,2014-05-03,"2014-05-03-ROC-TOR",FALSE,"2014","Rush","Dragons",15,1472.82023694208,1364.83356304629,1491.97937467916,1345.76595941559,0.767482438400773,0.231406692858157,0.00111086874107011,"Rush",TRUE
"Royal","Empire",16,17,2014-05-03,"2014-05-03-NY-MTL",FALSE,"2014","Empire","Royal",1,1360.99623340139,1417.69691674919,1349.34882137628,1429.37618309125,0.56122452369957,0.437240592515507,0.00153488378492322,"Royal",FALSE
"Radicals","AlleyCats",27,18,2014-05-03,"2014-05-03-IND-MAD",FALSE,"2014","Radicals","AlleyCats",9,1500.42130961428,1424.4465362944,1518.7189603642,1406.23239362127,0.732995593652222,0.265785833276598,0.00121857307117956,"Radicals",TRUE
"Union","Mechanix",18,9,2014-05-03,"2014-05-03-DET-CHI",FALSE,"2014","Union","Mechanix",9,1420.16102616956,1257.6705298288,1432.53373395577,1245.36086198967,0.818749639565115,0.180326875185975,0.000923485248909978,"Union",TRUE
"Phoenix","Breeze",22,30,2014-05-03,"2014-05-03-DC-PHI",FALSE,"2014","Breeze","Phoenix",8,1373.53064488201,1410.58962409968,1334.82651915261,1449.39292038229,0.588846749527631,0.409644464088326,0.00150878638404267,"Phoenix",FALSE
"FlameThrowers","Cascades",29,16,2014-05-04,"2014-05-04-SEA-SF",FALSE,"2014","FlameThrowers","Cascades",13,1487.36978408622,1344.91171429141,1502.95287681076,1329.4063064345,0.801004307752845,0.198003658490815,0.000992033756340133,"FlameThrowers",TRUE
"Breeze","Phoenix",28,19,2014-05-04,"2014-05-04-PHI-DC",FALSE,"2014","Breeze","Phoenix",9,1449.39292038229,1334.82651915261,1464.84182760714,1319.45206047104,0.774172939417413,0.224738796186431,0.00108826439615636,"Breeze",TRUE
"Wind Chill","AlleyCats",21,22,2014-05-04,"2014-05-04-IND-MIN",FALSE,"2014","AlleyCats","Wind Chill",1,1437.61704249638,1406.23239362127,1423.56338749934,1420.31406974494,0.679874069831231,0.318770351323975,0.00135557884479331,"Wind Chill",FALSE
"Radicals","Wind Chill",22,15,2014-05-09,"2014-05-09-MIN-MAD",FALSE,"2014","Radicals","Wind Chill",7,1518.7189603642,1423.56338749934,1533.92769724603,1408.42604493498,0.754042149682265,0.244803251287932,0.00115459902980272,"Radicals",TRUE
"Union","AlleyCats",20,19,2014-05-09,"2014-05-09-IND-CHI",FALSE,"2014","Union","AlleyCats",1,1432.53373395577,1420.31406974494,1439.66308022866,1413.21383058801,0.655402079468525,0.343191024127508,0.00140689640396702,"Union",TRUE
"Dragons","Rush",18,30,2014-05-10,"2014-05-10-TOR-ROC",FALSE,"2014","Rush","Dragons",12,1345.76595941559,1491.97937467916,1312.36807936179,1525.49535624977,0.433117377063973,0.565351034131364,0.00153158880466275,"Rush",TRUE
"Riptide","Spiders",32,39,2014-05-10,"2014-05-10-SJ-VAN",FALSE,"2014","Spiders","Riptide",7,1451.43121612009,1478.66952890907,1413.97160005653,1516.22194056445,0.602461563993008,0.396046008073789,0.00149242793320287,"Riptide",FALSE
