homeTeam,awayTeam,homeScore,awayScore,date,gameID,playoff,season
Hustle,Empire,22,21,7/24/2021,2021-07-24-NY-ATL,FALSE,2021
Spiders,Aviators,18,20,7/24/2021,2021-07-24-LA-SJ,FALSE,2021
Mechanix,AlleyCats,13,18,7/24/2021,2021-07-24-IND-DET,FALSE,2021
Wind Chill,Union,16,20,7/24/2021,2021-07-24-CHI-MIN,FALSE,2021
Cannons,Glory,23,26,7/24/2021,2021-07-24-BOS-TB,FALSE,2021
Royal,Outlaws,19,26,7/25/2021,2021-07-25-OTT-MTL,FALSE,2021
Flyers,Thunderbirds,20,17,7/30/2021,2021-07-30-PIT-RAL,FALSE,2021
Radicals,Union,18,23,7/30/2021,2021-07-30-CHI-MAD,FALSE,2021
Sol,Spiders,25,15,7/31/2021,2021-07-31-SJ-AUS,FALSE,2021
Growlers,Cascades,21,20,7/31/2021,2021-07-31-SEA-SD,FALSE,2021
Hustle,Thunderbirds,27,22,7/31/2021,2021-07-31-PIT-ATL,FALSE,2021
Breeze,Phoenix,22,12,7/31/2021,2021-07-31-PHI-DC,FALSE,2021
Cannons,Empire,18,25,7/31/2021,2021-07-31-NY-TB,FALSE,2021
Mechanix,Radicals,15,23,7/31/2021,2021-07-31-MAD-DET,FALSE,2021
Wind Chill,AlleyCats,17,16,7/31/2021,2021-07-31-IND-MIN,FALSE,2021
Legion,Spiders,15,14,8/1/2021,2021-08-01-SJ-DAL,FALSE,2021
Aviators,Cascades,20,15,8/1/2021,2021-08-01-SEA-LA,FALSE,2021
Glory,Flyers,18,19,8/6/2021,2021-08-06-RAL-BOS,FALSE,2021
Phoenix,Breeze,13,20,8/6/2021,2021-08-06-DC-PHI,FALSE,2021
Royal,Rush,18,16,8/7/2021,2021-08-07-TOR-MTL,FALSE,2021
Hustle,Cannons,20,21,8/7/2021,2021-08-07-TB-ATL,FALSE,2021
Cascades,Spiders,15,23,8/7/2021,2021-08-07-SJ-SEA,FALSE,2021
Empire,Flyers,24,23,8/7/2021,2021-08-07-RAL-NY,FALSE,2021
Growlers,Aviators,24,17,8/7/2021,2021-08-07-LA-SD,FALSE,2021
Union,Mechanix,20,16,8/7/2021,2021-08-07-DET-CHI,FALSE,2021
Sol,Legion,22,23,8/7/2021,2021-08-07-DAL-AUS,FALSE,2021
Outlaws,Royal,18,22,8/8/2021,2021-08-08-MTL-OTT,FALSE,2021
Thunderbirds,Breeze,16,25,8/8/2021,2021-08-08-DC-PIT,FALSE,2021
Royal,Outlaws,18,16,8/12/2021,2021-08-12-OTT-MTL,FALSE,2021
Spiders,Cascades,20,16,8/13/2021,2021-08-13-SEA-SJ,FALSE,2021
Glory,Thunderbirds,26,20,8/13/2021,2021-08-13-PIT-BOS,FALSE,2021
Phoenix,Empire,19,20,8/13/2021,2021-08-13-NY-PHI,FALSE,2021
Aviators,Growlers,17,21,8/14/2021,2021-08-14-SD-LA,FALSE,2021
Empire,Thunderbirds,20,16,8/14/2021,2021-08-14-PIT-NY,FALSE,2021
Rush,Royal,19,20,8/14/2021,2021-08-14-MTL-TOR,FALSE,2021
Mechanix,Wind Chill,15,24,8/14/2021,2021-08-14-MIN-DET,FALSE,2021
Flyers,Hustle,20,18,8/14/2021,2021-08-14-ATL-RAL,FALSE,2021
Rush,Outlaws,23,21,8/15/2021,2021-08-15-OTT-TOR,FALSE,2021
AlleyCats,Wind Chill,19,23,8/15/2021,2021-08-15-MIN-IND,FALSE,2021
Growlers,Spiders,24,21,8/20/2021,2021-08-20-SJ-SD,FALSE,2021
Empire,Glory,25,21,8/20/2021,2021-08-20-BOS-NY,FALSE,2021
Royal,Rush,25,23,8/21/2021,2021-08-21-TOR-MTL,FALSE,2021
Aviators,Spiders,21,20,8/21/2021,2021-08-21-SJ-LA,FALSE,2021
Breeze,Flyers,22,21,8/21/2021,2021-08-21-RAL-DC,FALSE,2021
Mechanix,Union,19,29,8/21/2021,2021-08-21-CHI-DET,FALSE,2021
Phoenix,Glory,19,22,8/21/2021,2021-08-21-BOS-PHI,FALSE,2021
Thunderbirds,Hustle,25,26,8/21/2021,2021-08-21-ATL-PIT,FALSE,2021
Outlaws,Royal,25,24,8/22/2021,2021-08-22-MTL-OTT,FALSE,2021
Wind Chill,Radicals,19,15,8/22/2021,2021-08-22-MAD-MIN,FALSE,2021
Rush,Outlaws,22,13,8/28/2021,2021-08-28-OTT-TOR,FALSE,2021
Growlers,Legion,22,18,8/28/2021,2021-08-28-DAL-SD,TRUE,2021
Glory,Empire,17,18,8/29/2021,2021-08-29-NY-BOS,FALSE,2021
Rush,Royal,18,25,8/29/2021,2021-08-29-MTL-TOR,FALSE,2021
Union,Wind Chill,21,19,8/29/2021,2021-08-29-MIN-CHI,TRUE,2021
Cannons,Breeze,16,28,8/29/2021,2021-08-29-DC-TB,FALSE,2021
Breeze,Flyers,16,19,9/3/2021,2021-09-03-RAL-DC,TRUE,2021
Outlaws,Rush,22,24,9/4/2021,2021-09-04-TOR-OTT,TRUE,2021
Empire,Hustle,22,21,9/4/2021,2021-09-04-ATL-NY,TRUE,2021
Royal,Rush,19,18,9/9/2021,2021-09-09-TOR-MTL,TRUE,2021
Empire,Growlers,22,18,9/10/2021,2021-09-10-SD-NY,TRUE,2021
Union,Flyers,20,21,9/10/2021,2021-09-10-RAL-CHI,TRUE,2021
Empire,Flyers,16,19,9/11/2021,2021-09-11-RAL-NY,TRUE,2021
Growlers,Shred,22,24,4/29/2022,2022-04-29-SLC-SD,FALSE,2022
Flyers,Hustle,16,14,4/29/2022,2022-04-29-ATL-CAR,FALSE,2022
Hustle,Cannons,24,12,4/30/2022,2022-04-30-TB-ATL,FALSE,2022
