homeTeam,awayTeam,homeScore,awayScore,date,gameID,playoff,season
Empire,Royal,24,16,6/7/2014,2014-06-07-MTL-NY,FALSE,2014
AlleyCats,Radicals,12,23,6/7/2014,2014-06-07-MAD-IND,FALSE,2014
Union,Mechanix,26,13,6/7/2014,2014-06-07-DET-CHI,FALSE,2014
Wind Chill,Revolution,30,18,6/7/2014,2014-06-07-CIN-MIN,FALSE,2014
Cascades,Lions,35,11,6/8/2014,2014-06-08-SLC-SEA,FALSE,2014
Rush,Dragons,38,18,6/8/2014,2014-06-08-ROC-TOR,FALSE,2014
Breeze,Royal,25,24,6/8/2014,2014-06-08-MTL-DC,FALSE,2014
Radicals,Revolution,28,15,6/8/2014,2014-06-08-CIN-MAD,FALSE,2014
Royal,Rush,18,31,6/14/2014,2014-06-14-TOR-MTL,FALSE,2014
FlameThrowers,Cascades,23,17,6/14/2014,2014-06-14-SEA-SF,FALSE,2014
Dragons,Phoenix,16,17,6/14/2014,2014-06-14-PHI-ROC,FALSE,2014
Breeze,Empire,31,26,6/14/2014,2014-06-14-NY-DC,FALSE,2014
Radicals,Wind Chill,23,15,6/14/2014,2014-06-14-MIN-MAD,FALSE,2014
Mechanix,AlleyCats,19,27,6/14/2014,2014-06-14-IND-DET,FALSE,2014
Spiders,Cascades,24,21,6/15/2014,2014-06-15-SEA-SJ,FALSE,2014
Royal,Phoenix,24,19,6/15/2014,2014-06-15-PHI-MTL,FALSE,2014
Radicals,Union,24,19,6/20/2014,2014-06-20-CHI-MAD,FALSE,2014
Riptide,Spiders,25,37,6/21/2014,2014-06-21-SJ-VAN,FALSE,2014
Lions,FlameThrowers,22,31,6/21/2014,2014-06-21-SF-SLC,FALSE,2014
Royal,Phoenix,31,19,6/21/2014,2014-06-21-PHI-MTL,FALSE,2014
Rush,Empire,21,18,6/21/2014,2014-06-21-NY-TOR,FALSE,2014
AlleyCats,Revolution,23,22,6/21/2014,2014-06-21-CIN-IND,FALSE,2014
Wind Chill,Union,22,19,6/21/2014,2014-06-21-CHI-MIN,FALSE,2014
Cascades,Spiders,14,22,6/22/2014,2014-06-22-SJ-SEA,FALSE,2014
Lions,FlameThrowers,25,33,6/22/2014,2014-06-22-SF-SLC,FALSE,2014
Rush,Phoenix,29,15,6/22/2014,2014-06-22-PHI-TOR,FALSE,2014
Dragons,Empire,9,25,6/22/2014,2014-06-22-NY-ROC,FALSE,2014
Wind Chill,Mechanix,42,16,6/27/2014,2014-06-27-DET-MIN,FALSE,2014
AlleyCats,Revolution,29,15,6/27/2014,2014-06-27-CIN-IND,FALSE,2014
FlameThrowers,Riptide,23,18,6/28/2014,2014-06-28-VAN-SF,FALSE,2014
Dragons,Rush,20,29,6/28/2014,2014-06-28-TOR-ROC,FALSE,2014
Spiders,Lions,37,12,6/28/2014,2014-06-28-SLC-SJ,FALSE,2014
Radicals,Mechanix,28,9,6/28/2014,2014-06-28-DET-MAD,FALSE,2014
Royal,Breeze,20,29,6/28/2014,2014-06-28-DC-MTL,FALSE,2014
Union,Revolution,21,11,6/28/2014,2014-06-28-CIN-CHI,FALSE,2014
Riptide,Cascades,28,26,6/29/2014,2014-06-29-SEA-VAN,FALSE,2014
Empire,Breeze,21,13,6/29/2014,2014-06-29-DC-NY,FALSE,2014
Phoenix,Dragons,28,23,7/5/2014,2014-07-05-ROC-PHI,FALSE,2014
Breeze,Empire,23,31,7/5/2014,2014-07-05-NY-DC,FALSE,2014
Rush,Royal,19,20,7/5/2014,2014-07-05-MTL-TOR,FALSE,2014
Revolution,Mechanix,24,20,7/5/2014,2014-07-05-DET-CIN,FALSE,2014
Phoenix,Breeze,20,25,7/6/2014,2014-07-06-DC-PHI,FALSE,2014
Cascades,Riptide,18,21,7/12/2014,2014-07-12-VAN-SEA,FALSE,2014
Phoenix,Rush,18,24,7/12/2014,2014-07-12-TOR-PHI,FALSE,2014
FlameThrowers,Spiders,17,23,7/12/2014,2014-07-12-SJ-SF,FALSE,2014
Empire,Breeze,13,14,7/12/2014,2014-07-12-DC-NY,FALSE,2014
Wind Chill,AlleyCats,25,15,7/13/2014,2014-07-13-IND-MIN,FALSE,2014
Spiders,FlameThrowers,26,16,7/18/2014,2014-07-18-SF-SJ,TRUE,2014
Radicals,AlleyCats,25,16,7/19/2014,2014-07-19-IND-MAD,TRUE,2014
Rush,Breeze,37,12,7/19/2014,2014-07-19-DC-TOR,TRUE,2014
Empire,Union,22,17,7/19/2014,2014-07-19-CHI-NY,TRUE,2014
Rush,Empire,31,16,7/26/2014,2014-07-26-NY-TOR,TRUE,2014
Spiders,Radicals,23,20,7/26/2014,2014-07-26-MAD-SJ,TRUE,2014
Rush,Spiders,18,28,7/27/2014,2014-07-27-SJ-TOR,TRUE,2014
FlameThrowers,Riptide,26,25,4/11/2015,2015-04-11-VAN-SF,FALSE,2015
Breeze,Rush,17,37,4/11/2015,2015-04-11-TOR-DC,FALSE,2015
Aviators,Cascades,20,29,4/11/2015,2015-04-11-SEA-LA,FALSE,2015
AlleyCats,Thunderbirds,20,28,4/11/2015,2015-04-11-PIT-IND,FALSE,2015
Revolution,Mechanix,25,17,4/11/2015,2015-04-11-DET-CIN,FALSE,2015
Flyers,Hustle,29,22,4/11/2015,2015-04-11-ATL-RAL,FALSE,2015
Spiders,Riptide,32,26,4/12/2015,2015-04-12-VAN-SJ,FALSE,2015
Phoenix,Rush,21,26,4/12/2015,2015-04-12-TOR-PHI,FALSE,2015
Growlers,Cascades,22,26,4/12/2015,2015-04-12-SEA-SD,FALSE,2015
Empire,Royal,22,20,4/12/2015,2015-04-12-MTL-NY,FALSE,2015
Express,Hustle,25,27,4/12/2015,2015-04-12-ATL-CHA,FALSE,2015
Cascades,Riptide,20,21,4/18/2015,2015-04-18-VAN-SEA,FALSE,2015
Spiders,FlameThrowers,29,26,4/18/2015,2015-04-18-SF-SJ,FALSE,2015
Breeze,Outlaws,23,19,4/18/2015,2015-04-18-OTT-DC,FALSE,2015
AlleyCats,Radicals,18,26,4/18/2015,2015-04-18-MAD-IND,FALSE,2015
Growlers,Aviators,23,25,4/18/2015,2015-04-18-LA-SD,FALSE,2015
Flyers,Cannons,33,26,4/18/2015,2015-04-18-JAX-RAL,FALSE,2015
Nightwatch,Hustle,17,23,4/18/2015,2015-04-18-ATL-NSH,FALSE,2015
Phoenix,Outlaws,15,18,4/19/2015,2015-04-19-OTT-PHI,FALSE,2015
Revolution,Radicals,9,23,4/19/2015,2015-04-19-MAD-CIN,FALSE,2015
Express,Cannons,19,21,4/19/2015,2015-04-19-JAX-CHA,FALSE,2015
AlleyCats,Revolution,25,9,4/24/2015,2015-04-24-CIN-IND,FALSE,2015
Outlaws,Rush,19,23,4/25/2015,2015-04-25-TOR-OTT,FALSE,2015
Riptide,Cascades,22,26,4/25/2015,2015-04-25-SEA-VAN,FALSE,2015
FlameThrowers,Growlers,27,22,4/25/2015,2015-04-25-SD-SF,FALSE,2015
Empire,Phoenix,27,17,4/25/2015,2015-04-25-PHI-NY,FALSE,2015
Union,Wind Chill,20,14,4/25/2015,2015-04-25-MIN-CHI,FALSE,2015
Nightwatch,Cannons,20,18,4/25/2015,2015-04-25-JAX-NSH,FALSE,2015
Radicals,Mechanix,35,12,4/25/2015,2015-04-25-DET-MAD,FALSE,2015
Thunderbirds,Revolution,30,16,4/25/2015,2015-04-25-CIN-PIT,FALSE,2015
Royal,Rush,27,26,4/26/2015,2015-04-26-TOR-MTL,FALSE,2015
Spiders,Growlers,31,18,4/26/2015,2015-04-26-SD-SJ,FALSE,2015
Hustle,Cannons,23,20,4/26/2015,2015-04-26-JAX-ATL,FALSE,2015
AlleyCats,Union,23,22,5/1/2015,2015-05-01-CHI-IND,FALSE,2015
Growlers,Spiders,21,23,5/2/2015,2015-05-02-SJ-SD,FALSE,2015
Radicals,Thunderbirds,24,18,5/2/2015,2015-05-02-PIT-MAD,FALSE,2015
Dragons,Outlaws,18,24,5/2/2015,2015-05-02-OTT-ROC,FALSE,2015
Cannons,Nightwatch,23,18,5/2/2015,2015-05-02-NSH-JAX,FALSE,2015
Phoenix,Royal,18,23,5/2/2015,2015-05-02-MTL-PHI,FALSE,2015
Mechanix,AlleyCats,16,30,5/2/2015,2015-05-02-IND-DET,FALSE,2015
Revolution,Union,18,27,5/2/2015,2015-05-02-CHI-CIN,FALSE,2015
Flyers,Express,34,22,5/2/2015,2015-05-02-CHA-RAL,FALSE,2015
Aviators,Spiders,19,20,5/3/2015,2015-05-03-SJ-LA,FALSE,2015
Wind Chill,Thunderbirds,17,30,5/3/2015,2015-05-03-PIT-MIN,FALSE,2015
Empire,Outlaws,24,17,5/3/2015,2015-05-03-OTT-NY,FALSE,2015
Hustle,Nightwatch,30,20,5/3/2015,2015-05-03-NSH-ATL,FALSE,2015
Breeze,Royal,20,21,5/3/2015,2015-05-03-MTL-DC,FALSE,2015
Revolution,AlleyCats,23,27,5/8/2015,2015-05-08-IND-CIN,FALSE,2015
FlameThrowers,Spiders,18,20,5/9/2015,2015-05-09-SJ-SF,FALSE,2015
Cascades,Growlers,19,21,5/9/2015,2015-05-09-SD-SEA,FALSE,2015
Hustle,Flyers,29,28,5/9/2015,2015-05-09-RAL-ATL,FALSE,2015
Rush,Empire,28,25,5/9/2015,2015-05-09-NY-TOR,FALSE,2015
Thunderbirds,Wind Chill,28,22,5/9/2015,2015-05-09-MIN-PIT,FALSE,2015
Union,AlleyCats,24,22,5/9/2015,2015-05-09-IND-CHI,FALSE,2015
Phoenix,Breeze,29,30,5/9/2015,2015-05-09-DC-PHI,FALSE,2015
Cannons,Express,26,17,5/9/2015,2015-05-09-CHA-JAX,FALSE,2015
Aviators,Cascades,20,17,5/10/2015,2015-05-10-SEA-LA,FALSE,2015
Riptide,Growlers,27,29,5/10/2015,2015-05-10-SD-VAN,FALSE,2015
Nightwatch,Flyers,21,22,5/10/2015,2015-05-10-RAL-NSH,FALSE,2015
Mechanix,Wind Chill,20,27,5/10/2015,2015-05-10-MIN-DET,FALSE,2015
Spiders,FlameThrowers,20,15,5/15/2015,2015-05-15-SF-SJ,FALSE,2015
Mechanix,AlleyCats,18,28,5/15/2015,2015-05-15-IND-DET,FALSE,2015
Radicals,Union,16,13,5/15/2015,2015-05-15-CHI-MAD,FALSE,2015
Dragons,Rush,21,37,5/16/2015,2015-05-16-TOR-ROC,FALSE,2015
